,title,pageid,size,wordcount,timestamp,search_term
0,Big data,27051151,157231,15455,2023-02-15T17:29:06Z,Big Data
1,Data,18985040,20432,2451,2023-02-18T03:04:50Z,Big Data
2,Big Data (band),41460310,8976,351,2022-04-29T02:47:48Z,Big Data
3,Data science,35458904,19299,1849,2023-02-12T02:13:45Z,Big Data
4,Big data ethics,55181525,19091,2209,2023-02-07T19:31:28Z,Big Data
5,List of big data companies,51354460,2933,320,2023-01-19T12:19:02Z,Big Data
6,Industrial big data,48415691,15260,1365,2023-02-08T05:27:14Z,Big Data
7,Data lake,46626475,8264,929,2023-01-26T16:06:03Z,Big Data
8,Data analysis,2720954,84663,9156,2023-02-16T00:57:41Z,Big Data
9,Data set,8495,8214,848,2023-02-13T02:47:46Z,Big Data
